,AQI,Date
26299,87,2007-01-01
26300,70,2007-01-02
26301,52,2007-01-03
26302,27,2007-01-04
26303,25,2007-01-05
26304,32,2007-01-06
26305,35,2007-01-07
26306,56,2007-01-08
26307,83,2007-01-09
26308,54,2007-01-10
26309,23,2007-01-11
26310,23,2007-01-12
26311,37,2007-01-13
26312,63,2007-01-14
26313,51,2007-01-15
26314,60,2007-01-16
26315,54,2007-01-17
26316,64,2007-01-18
26317,68,2007-01-19
26318,61,2007-01-20
26319,40,2007-01-21
26320,39,2007-01-22
26321,96,2007-01-23
26322,123,2007-01-24
26323,95,2007-01-25
26324,101,2007-01-26
26325,94,2007-01-27
26326,81,2007-01-28
26327,69,2007-01-29
26328,55,2007-01-30
26329,51,2007-01-31
26330,38,2007-02-01
26331,74,2007-02-02
26332,104,2007-02-03
26333,108,2007-02-04
26334,125,2007-02-05
26335,68,2007-02-06
26336,39,2007-02-07
26337,42,2007-02-08
26338,29,2007-02-09
26339,32,2007-02-10
26340,33,2007-02-11
26341,35,2007-02-12
26342,32,2007-02-13
26343,38,2007-02-14
26344,40,2007-02-15
26345,41,2007-02-16
26346,46,2007-02-17
26347,30,2007-02-18
26348,25,2007-02-19
26349,31,2007-02-20
26350,33,2007-02-21
26351,32,2007-02-22
26352,30,2007-02-23
26353,36,2007-02-24
26354,37,2007-02-25
26355,33,2007-02-26
26356,46,2007-02-27
26357,31,2007-02-28
26358,42,2007-03-01
26359,42,2007-03-02
26360,37,2007-03-03
26361,53,2007-03-04
26362,47,2007-03-05
26363,45,2007-03-06
26364,33,2007-03-07
26365,31,2007-03-08
26366,32,2007-03-09
26367,32,2007-03-10
26368,34,2007-03-11
26369,52,2007-03-12
26370,36,2007-03-13
26371,33,2007-03-14
26372,45,2007-03-15
26373,58,2007-03-16
26374,27,2007-03-17
26375,26,2007-03-18
26376,22,2007-03-19
26377,28,2007-03-20
26378,38,2007-03-21
26379,47,2007-03-22
26380,47,2007-03-23
26381,30,2007-03-24
26382,27,2007-03-25
26383,36,2007-03-26
26384,32,2007-03-27
26385,40,2007-03-28
26386,45,2007-03-29
26387,52,2007-03-30
26388,33,2007-03-31
26389,34,2007-04-01
26390,40,2007-04-02
26391,31,2007-04-03
26392,33,2007-04-04
26393,28,2007-04-05
26394,21,2007-04-06
26395,41,2007-04-07
26396,40,2007-04-08
26397,33,2007-04-09
26398,44,2007-04-10
26399,36,2007-04-11
26400,32,2007-04-12
26401,40,2007-04-13
26402,44,2007-04-14
26403,30,2007-04-15
26404,51,2007-04-16
26405,42,2007-04-17
26406,36,2007-04-18
26407,31,2007-04-19
26408,34,2007-04-20
26409,39,2007-04-21
26410,37,2007-04-22
26411,29,2007-04-23
26412,28,2007-04-24
26413,30,2007-04-25
26414,56,2007-04-26
26415,66,2007-04-27
26416,58,2007-04-28
26417,33,2007-04-29
26418,42,2007-04-30
26419,33,2007-05-01
26420,39,2007-05-02
26421,9,2007-05-03
26422,32,2007-05-04
26423,39,2007-05-05
26424,39,2007-05-06
26425,49,2007-05-07
26426,51,2007-05-08
26427,31,2007-05-09
26428,32,2007-05-10
26429,45,2007-05-11
26430,45,2007-05-12
26431,44,2007-05-13
26432,53,2007-05-14
26433,41,2007-05-15
26434,37,2007-05-16
26435,37,2007-05-17
26436,35,2007-05-18
26437,33,2007-05-19
26438,33,2007-05-20
26439,33,2007-05-21
26440,56,2007-05-22
26441,35,2007-05-23
26442,53,2007-05-24
26443,32,2007-05-25
26444,28,2007-05-26
26445,31,2007-05-27
26446,46,2007-05-28
26447,31,2007-05-29
26448,37,2007-05-30
26449,34,2007-05-31
26450,28,2007-06-01
26451,28,2007-06-02
26452,18,2007-06-03
26453,27,2007-06-04
26454,29,2007-06-05
26455,26,2007-06-06
26456,27,2007-06-07
26457,28,2007-06-08
26458,27,2007-06-09
26459,27,2007-06-10
26460,43,2007-06-11
26461,46,2007-06-12
26462,53,2007-06-13
26463,67,2007-06-14
26464,52,2007-06-15
26465,35,2007-06-16
26466,50,2007-06-17
26467,54,2007-06-18
26468,50,2007-06-19
26469,27,2007-06-20
26470,19,2007-06-21
26471,25,2007-06-22
26472,33,2007-06-23
26473,24,2007-06-24
26474,37,2007-06-25
26475,41,2007-06-26
26476,29,2007-06-27
26477,17,2007-06-28
26478,22,2007-06-29
26479,23,2007-06-30
26480,22,2007-07-01
26481,21,2007-07-02
26482,18,2007-07-03
26483,59,2007-07-04
26484,46,2007-07-05
26485,33,2007-07-06
26486,39,2007-07-07
26487,42,2007-07-08
26488,28,2007-07-09
26489,22,2007-07-10
26490,19,2007-07-11
26491,25,2007-07-12
26492,28,2007-07-13
26493,19,2007-07-14
26494,17,2007-07-15
26495,21,2007-07-16
26496,21,2007-07-17
26497,22,2007-07-18
26498,22,2007-07-19
26499,18,2007-07-20
26500,15,2007-07-21
26501,19,2007-07-22
26502,17,2007-07-23
26503,28,2007-07-24
26504,33,2007-07-25
26505,30,2007-07-26
26506,33,2007-07-27
26507,30,2007-07-28
26508,23,2007-07-29
26509,48,2007-07-30
26510,46,2007-07-31
26511,41,2007-08-01
26512,45,2007-08-02
26513,24,2007-08-03
26514,28,2007-08-04
26515,25,2007-08-05
26516,23,2007-08-06
26517,25,2007-08-07
26518,22,2007-08-08
26519,23,2007-08-09
26520,46,2007-08-10
26521,31,2007-08-11
26522,25,2007-08-12
26523,24,2007-08-13
26524,28,2007-08-14
26525,21,2007-08-15
26526,22,2007-08-16
26527,32,2007-08-17
26528,24,2007-08-18
26529,25,2007-08-19
26530,16,2007-08-20
26531,33,2007-08-21
26532,56,2007-08-22
26533,35,2007-08-23
26534,41,2007-08-24
26535,39,2007-08-25
26536,33,2007-08-26
26537,41,2007-08-27
26538,43,2007-08-28
26539,42,2007-08-29
26540,51,2007-08-30
26541,39,2007-08-31
26542,45,2007-09-01
26543,38,2007-09-02
26544,25,2007-09-03
26545,32,2007-09-04
26546,55,2007-09-05
26547,61,2007-09-06
26548,55,2007-09-07
26549,60,2007-09-08
26550,54,2007-09-09
26551,50,2007-09-10
26552,40,2007-09-11
26553,41,2007-09-12
26554,42,2007-09-13
26555,36,2007-09-14
26556,30,2007-09-15
26557,44,2007-09-16
26558,47,2007-09-17
26559,49,2007-09-18
26560,31,2007-09-19
26561,36,2007-09-20
26562,55,2007-09-21
26563,43,2007-09-22
26564,49,2007-09-23
26565,42,2007-09-24
26566,48,2007-09-25
26567,67,2007-09-26
26568,54,2007-09-27
26569,40,2007-09-28
26570,36,2007-09-29
26571,30,2007-09-30
26572,32,2007-10-01
26573,45,2007-10-02
26574,36,2007-10-03
26575,33,2007-10-04
26576,30,2007-10-05
26577,43,2007-10-06
26578,40,2007-10-07
26579,49,2007-10-08
26580,28,2007-10-09
26581,28,2007-10-10
26582,47,2007-10-11
26583,33,2007-10-12
26584,44,2007-10-13
26585,44,2007-10-14
26586,42,2007-10-15
26587,28,2007-10-16
26588,42,2007-10-17
26589,42,2007-10-18
26590,24,2007-10-19
26591,28,2007-10-20
26592,41,2007-10-21
26593,49,2007-10-22
26594,60,2007-10-23
26595,54,2007-10-24
26596,50,2007-10-25
26597,54,2007-10-26
26598,55,2007-10-27
26599,66,2007-10-28
26600,53,2007-10-29
26601,42,2007-10-30
26602,42,2007-10-31
26603,51,2007-11-01
26604,68,2007-11-02
26605,57,2007-11-03
26606,54,2007-11-04
26607,68,2007-11-05
26608,59,2007-11-06
26609,70,2007-11-07
26610,54,2007-11-08
26611,55,2007-11-09
26612,54,2007-11-10
26613,33,2007-11-11
26614,45,2007-11-12
26615,40,2007-11-13
26616,44,2007-11-14
26617,40,2007-11-15
26618,24,2007-11-16
26619,33,2007-11-17
26620,43,2007-11-18
26621,35,2007-11-19
26622,39,2007-11-20
26623,46,2007-11-21
26624,52,2007-11-22
26625,42,2007-11-23
26626,59,2007-11-24
26627,82,2007-11-25
26628,81,2007-11-26
26629,54,2007-11-27
26630,43,2007-11-28
26631,55,2007-11-29
26632,26,2007-11-30
26633,30,2007-12-01
26634,31,2007-12-02
26635,38,2007-12-03
26636,61,2007-12-04
26637,64,2007-12-05
26638,39,2007-12-06
26639,29,2007-12-07
26640,25,2007-12-08
26641,34,2007-12-09
26642,33,2007-12-10
