,Daily Max 8-hour Ozone Concentration,Date,DAILY_AQI_VALUE
0,0.01,01/01/2009,9
1,0.025,01/02/2009,23
2,0.024,01/03/2009,22
3,0.02,01/04/2009,19
4,0.01,01/05/2009,9
5,0.009,01/06/2009,8
6,0.01,01/07/2009,9
7,0.009,01/08/2009,8
8,0.022,01/09/2009,20
9,0.026,01/10/2009,24
10,0.011,01/11/2009,10
11,0.018,01/12/2009,17
12,0.015,01/13/2009,14
13,0.011,01/14/2009,10
14,0.014,01/15/2009,13
15,0.011,01/16/2009,10
16,0.014,01/17/2009,13
17,0.028,01/18/2009,26
18,0.018,01/19/2009,17
19,0.014,01/20/2009,13
20,0.003,01/21/2009,3
21,0.006,01/22/2009,6
22,0.016,01/23/2009,15
23,0.035,01/24/2009,32
24,0.035,01/25/2009,32
25,0.024,01/26/2009,22
26,0.022,01/27/2009,20
27,0.018,01/28/2009,17
28,0.021,01/29/2009,19
29,0.016,01/30/2009,15
30,0.013,01/31/2009,12
31,0.025,02/01/2009,23
32,0.021,02/02/2009,19
33,0.019,02/03/2009,18
34,0.025,02/04/2009,23
35,0.031,02/05/2009,29
36,0.028,02/06/2009,26
37,0.024,02/07/2009,22
38,0.037,02/08/2009,34
39,0.031,02/09/2009,29
40,0.032,02/10/2009,30
41,0.03,02/11/2009,28
42,0.031,02/12/2009,29
43,0.033,02/13/2009,31
44,0.036,02/14/2009,33
45,0.038,02/15/2009,35
46,0.036,02/16/2009,33
47,0.03,02/17/2009,28
48,0.018,02/18/2009,17
49,0.024,02/19/2009,22
50,0.021,02/20/2009,19
51,0.031,02/21/2009,29
52,0.035,02/22/2009,32
53,0.032,02/23/2009,30
54,0.036,02/24/2009,33
55,0.032,02/25/2009,30
56,0.033,02/26/2009,31
57,0.03,02/27/2009,28
58,0.019,02/28/2009,18
59,0.04,03/01/2009,37
60,0.043,03/02/2009,40
61,0.038,03/03/2009,35
62,0.038,03/04/2009,35
63,0.033,03/05/2009,31
64,0.036,03/06/2009,33
65,0.034,03/07/2009,31
66,0.039,03/08/2009,36
67,0.038,03/09/2009,35
68,0.033,03/10/2009,31
69,0.031,03/11/2009,29
70,0.034,03/12/2009,31
71,0.04,03/13/2009,37
72,0.039,03/14/2009,36
73,0.033,03/15/2009,31
74,0.029,03/16/2009,27
75,0.027,03/17/2009,25
76,0.019,03/18/2009,18
77,0.03,03/19/2009,28
78,0.033,03/20/2009,31
79,0.048,03/21/2009,44
80,0.045,03/22/2009,42
81,0.036,03/23/2009,33
82,0.028,03/24/2009,26
83,0.029,03/25/2009,27
84,0.029,03/27/2009,27
85,0.029,03/28/2009,27
86,0.039,03/29/2009,36
87,0.037,03/30/2009,34
88,0.033,03/31/2009,31
89,0.034,04/01/2009,31
90,0.036,04/02/2009,33
91,0.038,04/03/2009,35
92,0.045,04/04/2009,42
93,0.055,04/05/2009,51
94,0.047,04/06/2009,44
95,0.041,04/07/2009,38
96,0.043,04/08/2009,40
97,0.042,04/09/2009,39
98,0.035,04/10/2009,32
99,0.039,04/11/2009,36
100,0.033,04/12/2009,31
101,0.036,04/13/2009,33
102,0.038,04/14/2009,35
103,0.037,04/15/2009,34
104,0.034,04/16/2009,31
105,0.028,04/17/2009,26
106,0.025,04/18/2009,23
107,0.056,04/19/2009,54
108,0.053,04/20/2009,49
109,0.042,04/21/2009,39
110,0.03,04/22/2009,28
111,0.039,04/23/2009,36
112,0.038,04/24/2009,35
113,0.044,04/25/2009,41
114,0.045,04/26/2009,42
115,0.041,04/27/2009,38
116,0.041,04/28/2009,38
117,0.038,04/29/2009,35
118,0.036,04/30/2009,33
119,0.026,05/01/2009,24
120,0.033,05/02/2009,31
121,0.024,05/03/2009,22
122,0.014,05/04/2009,13
123,0.017,05/05/2009,16
124,0.017,05/06/2009,16
125,0.03,05/07/2009,28
126,0.027,05/08/2009,25
127,0.032,05/09/2009,30
128,0.033,05/10/2009,31
129,0.032,05/11/2009,30
130,0.034,05/12/2009,31
131,0.032,05/13/2009,30
132,0.017,05/14/2009,16
133,0.018,05/15/2009,17
134,0.034,05/16/2009,31
135,0.046,05/17/2009,43
136,0.027,05/18/2009,25
137,0.033,05/19/2009,31
138,0.03,05/20/2009,28
139,0.035,05/21/2009,32
140,0.035,05/22/2009,32
141,0.039,05/23/2009,36
142,0.04,05/24/2009,37
143,0.037,05/25/2009,34
144,0.032,05/26/2009,30
145,0.026,05/27/2009,24
146,0.032,05/28/2009,30
147,0.038,05/29/2009,35
148,0.038,05/30/2009,35
149,0.03,05/31/2009,28
150,0.024,06/01/2009,22
151,0.027,06/02/2009,25
152,0.032,06/03/2009,30
153,0.026,06/04/2009,24
154,0.025,06/05/2009,23
155,0.027,06/06/2009,25
